Ngay lay,Gio lay,Ngay cap nhat,Gio cap nhat,Nguon,Ten ngan hang,Ten ngoai te,Ky hieu ngoai te,Mua tien mat,Mua chuyen khoan,Gia ban
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Đô la,USD,23530.0,23580.0,23900.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Bảng Anh,GBP,0.0,26977.0,0.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Euro,EUR,23316.0,23410.0,23771.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Đô la Singapore,SGD,16560.0,16669.0,16926.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Đô la Hồng Kông,HKD,0.0,0.0,0.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Yên Nhật,JPY,162.56,163.38,166.56
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Đô la Canada,CAD,17484.0,17589.0,17860.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Đô la Úc,AUD,15631.0,15733.0,16008.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Won Hàn Quốc,KRW,0.0,16.96,0.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Franc Thuỵ Sĩ,CHF,0.0,24390.0,0.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Baht Thái,THB,0.0,635.0,0.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Đô la Đài Loan,TWD,0.0,0.0,0.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Ðô la New Zealand,NZD,0.0,13862.0,0.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Đô la,USD,23520.0,23530.0,23810.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Bảng Anh,GBP,26418.0,26577.0,273280.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Đô la Singapore,SGD,16523.0,16589.0,17063.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Đô la Hồng Kông,HKD,2957.0,2969.0,3060.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Yên Nhật,JPY,161.22,161.87,168.89
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Đô la Canada,CAD,17424.0,17494.0,17900.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Đô la Úc,AUD,15473.0,155358.0,16111.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Franc Thuỵ Sĩ,CHF,24123.0,24220.0,24872.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Won Hàn Quốc,KRW,0.0,16.31,17.72
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Baht Thái,THB,619.0,621.0,6569.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Ðô la New Zealand,NZD,0.0,13706.0,14191.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Đô la,USD,23550.0,23550.0,23830.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Euro,EUR,23012.0,23074.0,24078.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Bảng Anh,GBP,26266.0,26424.0,27396.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Đô la Singapore,SGD,16396.0,16495.0,16976.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Đô la Hồng Kông,HKD,2956.0,2976.0,3060.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Yên Nhật,JPY,161.24,162.22,169.51
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Nhân dân tệ,CNY,0.0,3307.0,3414.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Đô la Canada,CAD,17313.0,17417.0,17962.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Đô la Úc,AUD,15431.0,15524.0,16038.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Rúp Nga,RUB,0.0,347.0,445.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Franc Thuỵ Sĩ,CHF,24069.0,24214.0,24962.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Won Hàn Quốc,KRW,15.2,0.0,17.79
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Baht Thái,THB,602.47,608.55,664.18
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Ringit Malaysia,MYR,4854.3,0.0,5326.69
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Krona Thuỵ Điển,SEK,0.0,2120.0,2189.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Krone Na Uy,NOK,0.0,2243.0,2316.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Krone Đan Mạch,DKK,0.0,3104.0,3205.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Đô la Đài Loan,TWD,681.68,0.0,773.94
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Ðô la New Zealand,NZD,13691.0,13774.0,14094.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Kip Lào,LAK,0.0,1.13,1.45
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-hsbc,HSBC,Đô la,USD,23568.0,23568.0,23782.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-hsbc,HSBC,Bảng Anh,GBP,26265.0,26507.0,27370.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-hsbc,HSBC,Euro,EUR,23126.0,23172.0,24023.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-hsbc,HSBC,Đô la Singapore,SGD,16372.0,16523.0,17061.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-hsbc,HSBC,Đô la Hồng Kông,HKD,2941.0,2968.0,3065.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-hsbc,HSBC,Yên Nhật,JPY,160.71,161.86,167.8
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-hsbc,HSBC,Đô la Canada,CAD,17274.0,17433.0,18001.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-hsbc,HSBC,Đô la Úc,AUD,15451.0,15561.0,16132.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-hsbc,HSBC,Franc Thuỵ Sĩ,CHF,24182.0,24182.0,24969.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-hsbc,HSBC,Baht Thái,THB,617.0,617.0,662.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-hsbc,HSBC,Ðô la New Zealand,NZD,13745.0,13745.0,14193.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-ncb,NCB,Đô la,USD,23550.0,23570.0,23800.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-ncb,NCB,Bảng Anh,GBP,26457.0,26577.0,27285.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-ncb,NCB,Euro,EUR,23028.0,23138.0,24057.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-ncb,NCB,Đô la Singapore,SGD,16310.0,16531.0,17081.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-ncb,NCB,Yên Nhật,JPY,160.8,162.0,167.4
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-ncb,NCB,Đô la Canada,CAD,17351.0,17451.0,18009.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-ncb,NCB,Đô la Úc,AUD,15479.0,15579.0,16135.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-ncb,NCB,Franc Thuỵ Sĩ,CHF,24092.0,24222.0,24877.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-ncb,NCB,Won Hàn Quốc,KRW,13.16,15.16,18.24
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-ncb,NCB,Baht Thái,THB,552.0,622.0,655.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-scb,SCB,Đô la,USD,23090.0,23090.0,23250.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-scb,SCB,Bảng Anh,GBP,30580.0,30700.0,31190.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-scb,SCB,Euro,EUR,27230.0,27310.0,27860.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-scb,SCB,Đô la Singapore,SGD,17120.0,17140.0,17450.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-scb,SCB,Yên Nhật,JPY,219.4,220.1,223.7
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-scb,SCB,Đô la Úc,AUD,16820.0,16870.0,17270.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-scb,SCB,Đô la Canada,CAD,17610.0,17680.0,18010.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-scb,SCB,Won Hàn Quốc,KRW,0.0,20.7,23.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-scb,SCB,Ðô la New Zealand,NZD,0.0,15990.0,16370.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-sacombank,Sacombank,Đô la,USD,23570.0,23580.0,23800.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-sacombank,Sacombank,Bảng Anh,GBP,26558.0,26608.0,27218.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-sacombank,Sacombank,Euro,EUR,23132.0,23232.0,23946.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-sacombank,Sacombank,Đô la Singapore,SGD,16461.0,16561.0,17070.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-sacombank,Sacombank,Nhân dân tệ,CNY,0.0,3292.0,3463.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-sacombank,Sacombank,Đô la Hồng Kông,HKD,0.0,2935.0,3147.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-sacombank,Sacombank,Yên Nhật,JPY,162.0,163.0,169.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-sacombank,Sacombank,Đô la Úc,AUD,15505.0,15605.0,16113.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-sacombank,Sacombank,Đô la Canada,CAD,17311.0,17511.0,18020.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-sacombank,Sacombank,Won Hàn Quốc,KRW,0.0,15.0,20.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-sacombank,Sacombank,Franc Thuỵ Sĩ,CHF,24252.0,24352.0,24867.0
21/09/2022,15:48,21/09/2022,15:48,https://ngan-hang.com/ty-gia-ngan-hang-sacombank,Sacombank,Krona Thuỵ Điển,SEK,0.0,2192.0,2447.0
