Ngay lay,Gio lay,Ngay cap nhat,Gio cap nhat,Nguon,Ten ngan hang,Ten ngoai te,Ky hieu ngoai te,Mua tien mat,Mua chuyen khoan,Gia ban
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Đô la,USD,23700.0,23750.0,24050.0
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Euro,EUR,23047.0,23139.0,23647.0
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Bảng Anh,GBP,0.0,26421.0,0.0
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Đô la Singapore,SGD,16370.0,16477.0,16839.0
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Đô la Hồng Kông,HKD,0.0,0.0,0.0
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Yên Nhật,JPY,162.36,163.18,166.76
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Đô la Úc,AUD,14983.0,15081.0,15474.0
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Đô la Canada,CAD,16983.0,17085.0,17461.0
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Franc Thuỵ Sĩ,CHF,0.0,23996.0,0.0
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Won Hàn Quốc,KRW,0.0,16.67,0.0
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Baht Thái,THB,0.0,627.0,0.0
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Đô la Đài Loan,TWD,0.0,0.0,0.0
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Ðô la New Zealand,NZD,0.0,13196.0,0.0
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Đô la,USD,23650.0,23670.0,23960.0
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Bảng Anh,GBP,26111.0,26269.0,26939.0
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Đô la Singapore,SGD,16369.0,16435.0,16816.0
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Đô la Hồng Kông,HKD,2976.0,2988.0,3082.0
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Yên Nhật,JPY,162.26,162.41,169.05
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Đô la Canada,CAD,17130.0,17199.0,17607.0
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Đô la Úc,AUD,15131.0,15192.0,15779.0
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Franc Thuỵ Sĩ,CHF,24024.0,24120.0,24784.0
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Won Hàn Quốc,KRW,0.0,15.96,18.31
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Baht Thái,THB,608.0,610.0,644.0
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Ðô la New Zealand,NZD,0.0,13393.0,13887.0
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Đô la,USD,23730.0,23730.0,24010.0
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Euro,EUR,22963.0,23025.0,24025.0
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Bảng Anh,GBP,25929.0,26086.0,27035.0
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Đô la Singapore,SGD,16310.0,16409.0,16890.0
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Nhân dân tệ,CNY,0.0,3313.0,3420.0
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Đô la Hồng Kông,HKD,2978.0,2999.0,3083.0
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Yên Nhật,JPY,161.39,162.36,169.65
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Đô la Úc,AUD,15143.0,15234.0,15737.0
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Đô la Canada,CAD,17044.0,17147.0,17682.0
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Franc Thuỵ Sĩ,CHF,23918.0,24062.0,24803.0
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Won Hàn Quốc,KRW,14.93,0.0,17.47
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Rúp Nga,RUB,0.0,377.0,485.0
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Krona Thuỵ Điển,SEK,0.0,2099.0,2167.0
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Krone Na Uy,NOK,0.0,2194.0,2266.0
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Baht Thái,THB,596.33,602.36,657.35
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Ringit Malaysia,MYR,4816.56,0.0,5285.87
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Đô la Đài Loan,TWD,679.84,0.0,772.26
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Ðô la New Zealand,NZD,13404.0,13485.0,13804.0
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Kip Lào,LAK,0.0,1.11,1.42
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Krone Đan Mạch,DKK,0.0,3097.0,3198.0
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-hsbc,HSBC,Đô la,USD,23763.0,23763.0,23977.0
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-hsbc,HSBC,Bảng Anh,GBP,25988.0,26229.0,27081.0
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-hsbc,HSBC,Euro,EUR,22991.0,23039.0,23882.0
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-hsbc,HSBC,Đô la Singapore,SGD,16247.0,16397.0,16930.0
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-hsbc,HSBC,Đô la Hồng Kông,HKD,2965.0,2993.0,3090.0
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-hsbc,HSBC,Yên Nhật,JPY,160.86,162.02,167.95
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-hsbc,HSBC,Đô la Canada,CAD,17010.0,17167.0,17724.0
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-hsbc,HSBC,Đô la Úc,AUD,15137.0,15246.0,15805.0
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-hsbc,HSBC,Franc Thuỵ Sĩ,CHF,24117.0,24117.0,24900.0
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-hsbc,HSBC,Baht Thái,THB,608.0,608.0,652.0
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-hsbc,HSBC,Ðô la New Zealand,NZD,13455.0,13455.0,13892.0
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-ncb,NCB,Đô la,USD,23730.0,23750.0,23990.0
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-ncb,NCB,Bảng Anh,GBP,26106.0,26226.0,27078.0
01/10/2022,16:52,lúc,01/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-ncb,NCB,Euro,EUR,22790.0,22900.0,23893.0
