Ngay lay,Gio lay,Ngay cap nhat,Gio cap nhat,Nguon,Ten ngan hang,Ten ngoai te,Ky hieu ngoai te,Mua tien mat,Mua chuyen khoan,Gia ban
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Đô la,USD,23500.0,23570.0,23870.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Bảng Anh,GBP,0.0,26886.0,0.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Euro,EUR,23508.0,23602.0,23966.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Đô la Singapore,SGD,16592.0,16701.0,16958.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Đô la Hồng Kông,HKD,0.0,0.0,0.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Yên Nhật,JPY,163.44,164.26,166.79
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Đô la Canada,CAD,17642.0,17748.0,18022.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Đô la Úc,AUD,15713.0,15816.0,16092.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Franc Thuỵ Sĩ,CHF,0.0,24387.0,0.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Won Hàn Quốc,KRW,0.0,16.98,0.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Baht Thái,THB,0.0,637.0,0.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Đô la Đài Loan,TWD,0.0,0.0,0.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Ðô la New Zealand,NZD,0.0,14000.0,0.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Đô la,USD,23520.0,23530.0,23810.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Bảng Anh,GBP,26558.0,26718.0,27470.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Đô la Singapore,SGD,16553.0,16619.0,17095.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Đô la Hồng Kông,HKD,2958.0,2970.0,3060.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Yên Nhật,JPY,161.82,162.47,169.51
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Đô la Canada,CAD,17579.0,17650.0,18062.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Đô la Úc,AUD,15556.0,15618.0,16195.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Franc Thuỵ Sĩ,CHF,24113.0,24210.0,24862.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Won Hàn Quốc,KRW,0.0,16.35,17.76
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Baht Thái,THB,622.0,624.0,659.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Ðô la New Zealand,NZD,0.0,13829.0,14314.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Đô la,USD,23530.0,23530.0,23810.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Euro,EUR,23304.0,23367.0,24378.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Bảng Anh,GBP,26505.0,26665.0,27639.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Đô la Singapore,SGD,16464.0,16564.0,17047.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Yên Nhật,JPY,161.35,162.33,169.62
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Nhân dân tệ,CNY,0.0,3322.0,3430.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Đô la Hồng Kông,HKD,2953.0,2974.0,3058.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Đô la Canada,CAD,17469.0,17574.0,18124.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Đô la Úc,AUD,15543.0,15637.0,16154.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Rúp Nga,RUB,0.0,355.0,456.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Franc Thuỵ Sĩ,CHF,24031.0,24176.0,24916.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Won Hàn Quốc,KRW,15.25,0.0,17.85
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Baht Thái,THB,606.03,612.15,667.94
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Ringit Malaysia,MYR,4862.95,0.0,5337.42
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Krona Thuỵ Điển,SEK,0.0,2162.0,2233.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Krone Na Uy,NOK,0.0,2279.0,2354.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Krone Đan Mạch,DKK,0.0,3142.0,3244.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Đô la Đài Loan,TWD,682.37,0.0,774.59
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Ðô la New Zealand,NZD,13807.0,13891.0,14214.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Kip Lào,LAK,0.0,1.14,1.46
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-hsbc,HSBC,Đô la,USD,23578.0,23578.0,23792.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-hsbc,HSBC,Bảng Anh,GBP,26393.0,26636.0,27503.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-hsbc,HSBC,Euro,EUR,23290.0,23337.0,24193.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-hsbc,HSBC,Đô la Singapore,SGD,16408.0,16560.0,17099.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-hsbc,HSBC,Đô la Hồng Kông,HKD,2943.0,2970.0,3067.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-hsbc,HSBC,Yên Nhật,JPY,161.27,162.42,168.38
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-hsbc,HSBC,Đô la Canada,CAD,17431.0,17592.0,18164.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-hsbc,HSBC,Đô la Úc,AUD,15526.0,15638.0,16211.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-hsbc,HSBC,Franc Thuỵ Sĩ,CHF,24171.0,24171.0,24958.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-hsbc,HSBC,Baht Thái,THB,620.0,620.0,666.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-hsbc,HSBC,Ðô la New Zealand,NZD,13865.0,13865.0,14316.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-ncb,NCB,Đô la,USD,23540.0,23560.0,23790.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-ncb,NCB,Bảng Anh,GBP,26592.0,26712.0,27428.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-ncb,NCB,Euro,EUR,23188.0,23298.0,24218.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-ncb,NCB,Đô la Singapore,SGD,16339.0,16560.0,17118.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-ncb,NCB,Yên Nhật,JPY,161.62,162.82,168.2
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-ncb,NCB,Đô la Canada,CAD,17506.0,17606.0,18162.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-ncb,NCB,Đô la Úc,AUD,15557.0,15657.0,16216.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-ncb,NCB,Franc Thuỵ Sĩ,CHF,24079.0,24209.0,24864.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-ncb,NCB,Won Hàn Quốc,KRW,13.2,15.2,18.28
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-ncb,NCB,Baht Thái,THB,555.0,625.0,659.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-scb,SCB,Đô la,USD,23090.0,23090.0,23250.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-scb,SCB,Euro,EUR,27230.0,27310.0,27860.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-scb,SCB,Bảng Anh,GBP,30580.0,30700.0,31190.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-scb,SCB,Đô la Singapore,SGD,17120.0,17140.0,17450.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-scb,SCB,Yên Nhật,JPY,219.4,220.1,223.7
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-scb,SCB,Đô la Canada,CAD,17610.0,17680.0,18010.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-scb,SCB,Đô la Úc,AUD,16820.0,16870.0,17270.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-scb,SCB,Won Hàn Quốc,KRW,0.0,20.7,23.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-scb,SCB,Ðô la New Zealand,NZD,0.0,15990.0,16370.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-sacombank,Sacombank,Đô la,USD,23530.0,23550.0,23800.0
20/09/2022,23:06,20/09/2022,23:06,https://ngan-hang.com/ty-gia-ngan-hang-sacombank,Sacombank,Euro,EUR,23336.0,23436.0,24156.0
