Ngay lay,Gio lay,Ngay cap nhat,Gio cap nhat,Nguon,Ten ngan hang,Ten ngoai te,Ky hieu ngoai te,Mua tien mat,Mua chuyen khoan,Gia ban
27/09/2022,22:10,27/09/2022,22:10,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Đô la,USD,23570.0,23630.0,23900.0
27/09/2022,22:10,27/09/2022,22:10,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Bảng Anh,GBP,0.0,25374.0,0.0
27/09/2022,22:10,27/09/2022,22:10,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Euro,EUR,22599.0,22690.0,23039.0
27/09/2022,22:10,27/09/2022,22:10,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Đô la Singapore,SGD,16310.0,16416.0,16669.0
27/09/2022,22:10,27/09/2022,22:10,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Đô la Hồng Kông,HKD,0.0,0.0,0.0
27/09/2022,22:10,27/09/2022,22:10,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Yên Nhật,JPY,162.38,163.2,165.71
27/09/2022,22:10,27/09/2022,22:10,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Đô la Canada,CAD,17094.0,17197.0,17461.0
27/09/2022,22:10,27/09/2022,22:10,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Đô la Úc,AUD,15164.0,15263.0,15529.0
27/09/2022,22:10,27/09/2022,22:10,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Franc Thuỵ Sĩ,CHF,0.0,23763.0,0.0
27/09/2022,22:10,27/09/2022,22:10,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Won Hàn Quốc,KRW,0.0,16.66,0.0
27/09/2022,22:10,27/09/2022,22:10,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Baht Thái,THB,0.0,622.0,0.0
27/09/2022,22:10,27/09/2022,22:10,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Đô la Đài Loan,TWD,0.0,0.0,0.0
27/09/2022,22:10,27/09/2022,22:10,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Ðô la New Zealand,NZD,0.0,13374.0,0.0
27/09/2022,22:10,27/09/2022,22:10,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Đô la,USD,23560.0,23580.0,23860.0
27/09/2022,22:10,27/09/2022,22:10,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Bảng Anh,GBP,25091.0,25242.0,25878.0
27/09/2022,22:10,27/09/2022,22:10,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Đô la Singapore,SGD,16274.0,16339.0,16705.0
27/09/2022,22:10,27/09/2022,22:10,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Đô la Hồng Kông,HKD,2963.0,2954.0,3066.0
27/09/2022,22:10,27/09/2022,22:10,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Yên Nhật,JPY,161.78,161.93,168.43
27/09/2022,22:10,27/09/2022,22:10,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Đô la Canada,CAD,17057.0,17125.0,17518.0
27/09/2022,22:10,27/09/2022,22:10,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Đô la Úc,AUD,15049.0,15109.0,15681.0
27/09/2022,22:10,27/09/2022,22:10,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Franc Thuỵ Sĩ,CHF,23520.0,23614.0,24239.0
