Ngay lay,Gio lay,Ngay cap nhat,Gio cap nhat,Nguon,Ten ngan hang,Ten ngoai te,Ky hieu ngoai te,Mua tien mat,Mua chuyen khoan,Gia ban
17/09/2022,13:10,17/09/2022,13:10,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Đô la,USD,23500.0,23570.0,23870.0
17/09/2022,13:10,17/09/2022,13:10,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Euro,EUR,23373.0,23467.0,23945.0
17/09/2022,13:10,17/09/2022,13:10,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Bảng Anh,GBP,0.0,26689.0,0.0
17/09/2022,13:10,17/09/2022,13:10,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Đô la Singapore,SGD,16523.0,16631.0,16969.0
17/09/2022,13:10,17/09/2022,13:10,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Đô la Hồng Kông,HKD,0.0,0.0,0.0
17/09/2022,13:10,17/09/2022,13:10,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Yên Nhật,JPY,163.1,163.92,167.26
17/09/2022,13:10,17/09/2022,13:10,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Đô la Canada,CAD,17566.0,17672.0,18031.0
17/09/2022,13:10,17/09/2022,13:10,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Đô la Úc,AUD,15543.0,15645.0,16027.0
17/09/2022,13:10,17/09/2022,13:10,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Franc Thuỵ Sĩ,CHF,0.0,24283.0,0.0
17/09/2022,13:10,17/09/2022,13:10,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Won Hàn Quốc,KRW,0.0,16.91,0.0
17/09/2022,13:10,17/09/2022,13:10,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Baht Thái,THB,0.0,635.0,0.0
17/09/2022,13:10,17/09/2022,13:10,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Đô la Đài Loan,TWD,0.0,0.0,0.0
17/09/2022,13:10,17/09/2022,13:10,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Ðô la New Zealand,NZD,0.0,13961.0,0.0
17/09/2022,13:10,17/09/2022,13:10,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Đô la,USD,23440.0,23460.0,23750.0
17/09/2022,13:10,17/09/2022,13:10,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Bảng Anh,GBP,26611.0,26772.0,27424.0
17/09/2022,13:10,17/09/2022,13:10,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Đô la Singapore,SGD,16519.0,16585.0,16960.0
17/09/2022,13:10,17/09/2022,13:10,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Yên Nhật,JPY,162.69,162.74,169.4
17/09/2022,13:10,17/09/2022,13:10,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Đô la Hồng Kông,HKD,2951.0,2963.0,3054.0
