Ngay lay,Gio lay,Ngay cap nhat,Gio cap nhat,Nguon,Ten ngan hang,Ten ngoai te,Ky hieu ngoai te,Mua tien mat,Mua chuyen khoan,Gia ban
30/09/2022,17:02,lúc,30/09/2022,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Đô la,USD,23650,23740,24000
30/09/2022,17:02,lúc,30/09/2022,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Euro,EUR,23152,23245,23621
30/09/2022,17:02,lúc,30/09/2022,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Bảng Anh,GBP,0,26415,0
30/09/2022,17:02,lúc,30/09/2022,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Đô la Singapore,SGD,16411,16518,16786
30/09/2022,17:02,lúc,30/09/2022,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Đô la Hồng Kông,HKD,0,0,0
30/09/2022,17:02,lúc,30/09/2022,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Yên Nhật,JPY,162.97,163.79,166.44
30/09/2022,17:02,lúc,30/09/2022,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Đô la Canada,CAD,17193,17297,17577
30/09/2022,17:02,lúc,30/09/2022,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Đô la Úc,AUD,15287,15387,15667
30/09/2022,17:02,lúc,30/09/2022,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Franc Thuỵ Sĩ,CHF,0,24261,0
30/09/2022,17:02,lúc,30/09/2022,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Won Hàn Quốc,KRW,0,16.72,0
30/09/2022,17:02,lúc,30/09/2022,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Baht Thái,THB,0,623,0
30/09/2022,17:02,lúc,30/09/2022,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Đô la Đài Loan,TWD,0,0,0
30/09/2022,17:02,lúc,30/09/2022,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Ðô la New Zealand,NZD,0,13555,0
30/09/2022,17:02,lúc,30/09/2022,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Đô la,USD,23650,23670,23960
30/09/2022,17:02,lúc,30/09/2022,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Bảng Anh,GBP,26111,26269,26939
30/09/2022,17:02,lúc,30/09/2022,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Đô la Singapore,SGD,16369,16435,16816
30/09/2022,17:02,lúc,30/09/2022,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Yên Nhật,JPY,162.26,162.41,169.05
30/09/2022,17:02,lúc,30/09/2022,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Đô la Hồng Kông,HKD,2976,2988,3082
30/09/2022,17:02,lúc,30/09/2022,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Đô la Canada,CAD,17130,17199,17607
30/09/2022,17:02,lúc,30/09/2022,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Đô la Úc,AUD,15131,15192,15779
30/09/2022,17:02,lúc,30/09/2022,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Franc Thuỵ Sĩ,CHF,24024,24120,24784
30/09/2022,17:02,lúc,30/09/2022,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Won Hàn Quốc,KRW,0,15.96,18.31
30/09/2022,17:02,lúc,30/09/2022,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Baht Thái,THB,608,610,644
30/09/2022,17:02,lúc,30/09/2022,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Ðô la New Zealand,NZD,0,13393,13887
30/09/2022,17:02,lúc,30/09/2022,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Đô la,USD,23730,23730,24010
30/09/2022,17:02,lúc,30/09/2022,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Euro,EUR,22963,23025,24025
30/09/2022,17:02,lúc,30/09/2022,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Bảng Anh,GBP,25929,26086,27035
30/09/2022,17:02,lúc,30/09/2022,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Đô la Singapore,SGD,16310,16409,16890
30/09/2022,17:02,lúc,30/09/2022,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Yên Nhật,JPY,161.39,162.36,169.65
30/09/2022,17:02,lúc,30/09/2022,https://ngan-hang.com/ty-gia-ngan-hang-bidv,BIDV,Nhân dân tệ,CNY,0,3313,3420
