1,10/10/2022,17:30,10/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Đô la,USD,23700.0,23770.0,24050.0
2,10/10/2022,17:30,10/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Euro,EUR,22969.0,23061.0,23424.0
3,10/10/2022,17:30,10/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Bảng Anh,GBP,0.0,26256.0,0.0
4,10/10/2022,17:30,10/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Đô la Singapore,SGD,16412.0,16520.0,16780.0
5,10/10/2022,17:30,10/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Yên Nhật,JPY,162.05,162.87,165.43
6,10/10/2022,17:30,10/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Đô la Úc,AUD,14965.0,15063.0,15331.0
7,10/10/2022,17:30,10/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Đô la Canada,CAD,17147.0,17251.0,17523.0
8,10/10/2022,17:30,10/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Won Hàn Quốc,KRW,0.0,16.72,0.0
9,10/10/2022,17:30,10/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Franc Thuỵ Sĩ,CHF,0.0,23839.0,0.0
10,10/10/2022,17:30,10/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Baht Thái,THB,0.0,628.0,0.0
11,10/10/2022,17:30,10/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-acb,ACB,Ðô la New Zealand,NZD,0.0,13293.0,0.0
12,10/10/2022,17:30,10/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Đô la,USD,23730.0,23740.0,24020.0
13,10/10/2022,17:30,10/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Bảng Anh,GBP,26007.0,26164.0,26933.0
14,10/10/2022,17:30,10/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Đô la Singapore,SGD,16398.0,16464.0,16945.0
15,10/10/2022,17:30,10/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Đô la Hồng Kông,HKD,2984.0,2996.0,3089.0
16,10/10/2022,17:30,10/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Yên Nhật,JPY,160.68,161.33,168.45
17,10/10/2022,17:30,10/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Đô la Úc,AUD,14863.0,14923.0,15507.0
18,10/10/2022,17:30,10/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Đô la Canada,CAD,171189.0,17187.0,17593.0
19,10/10/2022,17:30,10/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Won Hàn Quốc,KRW,0.0,16.06,17.43
20,10/10/2022,17:30,10/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Franc Thuỵ Sĩ,CHF,23602.0,23697.0,24341.0
21,10/10/2022,17:30,10/10/2022,https://ngan-hang.com/ty-gia-ngan-hang-agribank,Agribank,Baht Thái,THB,615.0,617.0,652.0
