USD,Dola My
EUR,Euro chau Au
GBP,Bang Anh
HKD,Dola HongKong
CHF,Franc Thuy Sy
JPY,Yen Nhat
AUD,Dola Uc
SGD,Dola Singgapore
THB,Baht Thai
CAD,Dola Canada
NZD,Dola New Zealand
KRW,Won Han Quoc
CNY,Nhan dan te
NOK,Krone NaUy
SEK,Krona Thuy Dien
LAK,Kip Lao
DKK,Krone Dan Mach
RUP ,Rup Nga
MYR,Ringgit Malaysia
KWD,Dinar Kuwait
INR,Rupee An Do
SAR,Riyal A Rap Xe Ut
