2022-09-16,21:36,data_2022-09-16_21g36,true
2022-09-17,13:10,data_2022-09-17_13g10,true
2022-09-20,23:06,data_2022-09-20_23g06,true
2022-09-21,15:48,data_2022-09-21_15g48,true
2022-09-22,18:15,data_2022-09-22_17g15,true
2022-09-23,17:07,data_2022-09-23_17g07,true
2022-09-24,20:59,data_2022-09-24_20g59,true
2022-09-25,22:06,data_2022-09-25_23g06,true
2022-09-27,22:10,data_2022-09-27_23g10,true
2022-09-28,17:10,data_2022-09-28_17g10,true
2022-09-30,17:02,data_2022-09-30_17g02,true
2022-10-01,16:52,data_2022-10-01_16g52,true
2022-10-02,16:59,data_2022-10-02_16g59,true
2022-10-03,22:54,data_2022-10-03_22g54,true
2022-10-04,18:04,data_2022-10-04_18g04,true
2022-10-05,16:59,data_2022-10-05_16g59,true
2022-10-06,19:00,data_2022-10-06_19g00,true
2022-10-07,17:18,data_2022-10-07_17g18,true
2022-10-08,17:24,data_2022-10-08_17g24,true
2022-10-09,21:08,data_2022-10-09_21g08,true
2022-10-10,17:30,data_2022-10-10_17g30,true
2022-10-11,16:45,data_2022-10-11_16g45,true

